Date;Return_incD;Return_excD
19260102;0.004297;0.004297
19260104;-0.001357;-0.001357
19260105;-0.004603;-0.004653
19260106;0.000537;0.000537
19260107;0.003907;0.003907
19260108;-0.002693;-0.003221
19260109;0.002218;0.002218
19260111;-0.006515;-0.006608
19260112;-0.001597;-0.001597
19260113;0.003465;0.003465
19260114;-0.005732;-0.005732
19260115;-0.012153;-0.012979
19260116;-0.000511;-0.000511
19260118;0.004508;0.004508
19260119;-0.01154;-0.01154
19260120;0.006186;0.006186
19260121;-0.00873;-0.008789
19260122;0.006297;0.006297
19260123;0.004987;0.004987
19260125;0.005291;0.00526
19260126;-0.00596;-0.00596
19260127;0.006636;0.006636
19260128;0.003137;0.003137
19260129;0.009238;0.008616
19260130;0.000009;0.000009
19260201;-0.004103;-0.004593
19260202;0.00601;0.00601
19260203;0.004727;0.004727
19260204;0.00478;0.00478
19260205;-0.001882;-0.001882
19260206;-0.000083;-0.000083
19260208;-0.005627;-0.005919
19260209;0.003226;0.003226
19260210;0.003489;0.003001
19260211;0.001654;0.001557
19260213;0.000201;0.000201
19260215;-0.019985;-0.020015
19260216;0.004441;0.004441
19260217;0.006048;0.006048
19260218;0.001275;0.001258
19260219;0.000347;-0.000143
19260220;-0.001093;-0.001093
19260223;-0.009545;-0.010135
19260224;-0.004227;-0.004227
19260225;-0.012444;-0.012787
19260226;-0.012005;-0.013788
19260227;0.001351;0.001351
19260301;-0.015197;-0.015683
19260302;-0.024114;-0.024114
19260303;-0.016808;-0.017186
19260304;0.042271;0.042271
19260305;0.003787;0.003059
19260306;-0.004807;-0.004807
19260308;-0.004643;-0.004643
19260309;0.005346;0.004917
19260310;0.009818;0.009818
19260311;0.006455;0.006398
19260312;0.003321;0.003032
19260313;-0.017525;-0.017525
19260315;0.003143;0.002884
19260316;-0.003979;-0.003979
19260317;-0.004902;-0.004937
19260318;-0.01217;-0.012573
19260319;-0.00574;-0.005852
19260320;0.001846;0.001846
19260322;0.008015;0.008015
19260323;-0.006485;-0.006485
19260324;-0.016472;-0.016472
19260325;-0.001399;-0.00154
19260326;0.002685;0.002169
19260327;-0.010038;-0.010038
19260329;-0.022317;-0.022425
19260330;-0.012175;-0.012175
19260331;0.034989;0.034544
19260401;0.003967;0.003303
19260403;-0.000236;-0.000236
19260405;0.0051;0.0051
19260406;0.009555;0.009555
19260407;-0.004164;-0.004164
19260408;-0.004319;-0.004319
19260409;0.000677;0.000405
19260410;-0.003047;-0.003047
19260412;-0.019107;-0.019107
19260413;0.010267;0.010166
19260414;-0.012908;-0.013064
19260415;0.002818;0.002628
19260416;0.000042;-0.000336
19260417;0.002807;0.002807
19260419;0.000777;0.000777
19260420;0.004656;0.004656
19260421;0.015531;0.015468
19260422;0.009272;0.009272
19260423;0.011533;0.011501
19260424;0.00677;0.00677
19260426;-0.006923;-0.006923
19260427;-0.001158;-0.001158
19260428;0.006942;0.006942
19260429;0.001811;0.001364
19260430;-0.002338;-0.003643
19260501;-0.001858;-0.001858
19260503;-0.016543;-0.016543
19260504;0.004776;0.004776
19260505;0.001722;0.001722
19260506;0.002038;0.002038
19260507;-0.008789;-0.008941
19260508;-0.000664;-0.000664
19260510;-0.00446;-0.004622
19260511;0.000599;0.000263
19260512;0.003519;0.003519
19260513;-0.002317;-0.002317
19260514;-0.001664;-0.001857
19260515;-0.002386;-0.002386
19260517;-0.000568;-0.000568
19260518;-0.001399;-0.001399
19260519;-0.001768;-0.001853
19260520;0.009558;0.009112
19260521;0.00705;0.00705
19260522;0.004522;0.004522
19260524;0.002977;0.000904
19260525;0.004021;0.004021
19260526;0.006064;0.006064
19260527;0.002671;0.002317
19260528;0.006872;0.006048
19260601;-0.004991;-0.006218
19260602;0.004769;0.004769
19260603;0.004452;0.004452
19260604;0.001589;0.000412
19260605;0.000211;0.000211
19260607;0.001872;0.001381
19260608;0.00104;0.000925
19260609;0.000579;0.00048
19260610;0.001475;0.001475
19260611;0.009138;0.009
19260612;0.006479;0.006479
19260614;0.005434;0.005405
19260615;0.000072;-0.000594
19260616;0.005739;0.005739
19260617;0.008465;0.008377
19260618;-0.007409;-0.007637
19260619;0.008156;0.008156
19260621;0.003165;0.003061
19260622;0.002162;0.002162
19260623;-0.007393;-0.007393
19260624;0.002784;0.002784
19260625;-0.002794;-0.003859
19260626;-0.000521;-0.000521
19260628;0.002784;0.002744
19260629;0.005671;0.005671
19260630;0.002463;0.00181
19260701;0.002716;0.002667
19260702;0.004275;0.004056
19260706;0.000781;0.000781
19260707;0.002074;0.002074
19260708;0.002242;0.002242
19260709;-0.007629;-0.007941
19260710;0.006689;0.006689
19260712;0.001369;0.00128
19260713;0.005007;0.005007
19260714;0.00077;0.00077
19260715;-0.004439;-0.005
19260716;0.005231;0.004963
19260717;0.004408;0.004408
19260719;0.000239;0.000239
19260720;-0.006844;-0.006901
19260721;-0.004943;-0.005008
19260722;-0.007862;-0.007862
19260723;0.0002;-0.00009
19260724;-0.000682;-0.000682
19260726;0.006141;0.006141
19260727;0.004131;0.004131
19260728;0.011802;0.011802
19260729;0.005824;0.005824
19260730;0.002755;0.002452
19260731;0.006015;0.006015
19260802;0.007214;0.006752
19260803;0.006434;0.0063
19260804;-0.00499;-0.00499
19260805;-0.000877;-0.000877
19260806;0.007379;0.007379
19260807;0.005109;0.005109
19260809;0.001313;0.001313
19260810;-0.016169;-0.016738
19260811;-0.005923;-0.005923
19260812;0.011245;0.011245
19260813;0.008941;0.008782
19260814;0.006175;0.006175
19260816;0.001146;0.00069
19260817;-0.011025;-0.011025
19260818;0.00267;0.00267
19260819;-0.007308;-0.007398
19260820;-0.001691;-0.002308
19260821;0.003627;0.003627
19260823;0.006257;0.006257
19260824;-0.009515;-0.009515
19260825;-0.003327;-0.003327
19260826;0.006277;0.005961
19260827;0.003533;0.003194
19260828;0.003397;0.003397
19260830;0.002494;0.002494
19260831;0.008127;0.0072
19260901;0.00486;0.004106
19260902;0.000077;0.000077
19260903;0.007763;0.006938
19260907;0.007463;0.007266
19260908;-0.006194;-0.006329
19260909;0.000578;0.000492
19260910;-0.01011;-0.010173
19260911;-0.005067;-0.005067
19260913;0.000782;0.000722
19260914;0.011041;0.011041
19260915;-0.002918;-0.003728
19260916;-0.000885;-0.000885
19260917;-0.009284;-0.009572
19260918;0.008449;0.008449
19260920;-0.005899;-0.005995
19260921;0.004003;0.003878
19260922;-0.002042;-0.002042
19260923;0.002617;0.002617
19260924;0.007508;0.007299
19260925;0.002409;0.002409
19260927;-0.001923;-0.00202
19260928;-0.000015;-0.000015
19260929;-0.003615;-0.003615
19260930;0.00446;0.003895
19261001;0.008863;0.008817
19261002;-0.000974;-0.000974
19261004;-0.015321;-0.01537
19261005;-0.011636;-0.012037
19261006;-0.004755;-0.004755
19261007;-0.009997;-0.009997
19261008;0.006137;0.005966
19261009;-0.010681;-0.010681
19261011;-0.007048;-0.007226
19261013;0.009222;0.009222
19261014;0.009533;0.009533
19261015;-0.019495;-0.020138
19261016;-0.00762;-0.00762
19261018;0.008787;0.008787
19261019;-0.012061;-0.012061
19261020;0.000422;0.000366
19261021;0.01721;0.017147
19261022;-0.005123;-0.005151
19261023;0.004855;0.004855
19261025;-0.000297;-0.000297
19261026;0.002688;0.002688
19261027;0.012247;0.012247
19261028;-0.00196;-0.002074
19261029;-0.000714;-0.001381
19261030;-0.00263;-0.00263
19261101;0.005396;0.004857
19261103;0.002668;0.002668
19261104;0.007209;0.007209
19261105;-0.000305;-0.000437
19261106;0.001715;0.001715
19261108;0.006382;0.006382
19261109;-0.000064;-0.000064
19261110;-0.007294;-0.008012
19261111;0.007018;0.007018
